N	workers	elapsed_s	solutions
7	1	0.017	40
7	2	0.012	40
7	3	0.014	40
7	4	0.010	40
7	5	0.010	40
7	6	0.010	40
8	1	0.037	92
8	2	0.027	92
8	3	0.020	92
8	4	0.019	92
8	5	0.017	92
8	6	0.025	92
9	1	0.121	352
9	2	0.089	352
9	3	0.059	352
9	4	0.058	352
9	5	0.045	352
9	6	0.040	352
10	1	0.483	724
10	2	0.337	724
10	3	0.217	724
10	4	0.202	724
10	5	0.165	724
10	6	0.140	724
11	1	2.271	2680
11	2	1.560	2680
11	3	0.953	2680
11	4	0.888	2680
11	5	0.796	2680
11	6	0.590	2680
12	1	12.130	14200
12	2	8.221	14200
12	3	4.978	14200
12	4	4.623	14200
12	5	3.680	14200
12	6	3.077	14200
13	1	70.742	73712
13	2	47.927	73712
13	3	28.935	73712
13	4	26.656	73712
13	5	21.630	73712
13	6	17.536	73712
