N	workers	elapsed_s	solutions
7	1	0.022	40
7	2	0.018	40
7	3	0.017	40
7	4	0.015	40
7	5	0.013	40
7	6	0.013	40
8	1	0.032	92
8	2	0.029	92
8	3	0.021	92
8	4	0.017	92
8	5	0.018	92
8	6	0.017	92
9	1	0.065	352
9	2	0.057	352
9	3	0.040	352
9	4	0.034	352
9	5	0.036	352
9	6	0.034	352
10	1	0.220	724
10	2	0.150	724
10	3	0.104	724
10	4	0.089	724
10	5	0.078	724
10	6	0.080	724
11	1	1.093	2680
11	2	0.676	2680
11	3	0.489	2680
11	4	0.406	2680
11	5	0.318	2680
11	6	0.295	2680
12	1	5.804	14200
12	2	3.535	14200
12	3	2.474	14200
12	4	2.096	14200
12	5	1.586	14200
12	6	1.473	14200
13	1	33.664	73712
13	2	20.212	73712
13	3	14.282	73712
13	4	11.486	73712
13	5	9.133	73712
13	6	8.225	73712
