N	workers	elapsed_s	solutions
7	1	0.021	40
7	2	0.019	40
7	3	0.015	40
7	4	0.015	40
7	5	0.012	40
7	6	0.013	40
8	1	0.033	92
8	2	0.031	92
8	3	0.029	92
8	4	0.019	92
8	5	0.026	92
8	6	0.017	92
9	1	0.071	352
9	2	0.049	352
9	3	0.040	352
9	4	0.035	352
9	5	0.033	352
9	6	0.028	352
10	1	0.238	724
10	2	0.160	724
10	3	0.118	724
10	4	0.097	724
10	5	0.079	724
10	6	0.081	724
11	1	1.189	2680
11	2	0.714	2680
11	3	0.509	2680
11	4	0.415	2680
11	5	0.323	2680
11	6	0.299	2680
12	1	6.029	14200
12	2	3.675	14200
12	3	2.582	14200
12	4	2.103	14200
12	5	1.646	14200
12	6	1.508	14200
13	1	35.672	73712
13	2	21.246	73712
13	3	14.910	73712
13	4	11.993	73712
13	5	9.512	73712
13	6	8.526	73712
