N	workers	elapsed_s	solutions
7	1	0.016	40
7	2	0.014	40
7	3	0.012	40
7	4	0.013	40
7	5	0.012	40
7	6	0.013	40
8	1	0.038	92
8	2	0.030	92
8	3	0.024	92
8	4	0.023	92
8	5	0.023	92
8	6	0.025	92
9	1	0.123	352
9	2	0.095	352
9	3	0.067	352
9	4	0.061	352
9	5	0.055	352
9	6	0.051	352
10	1	0.489	724
10	2	0.350	724
10	3	0.304	724
10	4	0.213	724
10	5	0.177	724
10	6	0.154	724
11	1	2.329	2680
11	2	1.611	2680
11	3	0.984	2680
11	4	0.905	2680
11	5	0.752	2680
11	6	0.629	2680
12	1	12.377	14200
12	2	8.552	14200
12	3	5.078	14200
12	4	4.641	14200
12	5	3.756	14200
12	6	3.114	14200
13	1	75.547	73712
13	2	48.917	73712
13	3	30.500	73712
13	4	26.712	73712
13	5	21.290	73712
13	6	17.617	73712
