N	workers	elapsed_s	solutions
7	1	0.020	40
7	2	0.020	40
7	3	0.019	40
7	4	0.019	40
7	5	0.017	40
7	6	0.020	40
8	1	0.030	92
8	2	0.032	92
8	3	0.032	92
8	4	0.032	92
8	5	0.027	92
8	6	0.031	92
9	1	0.065	352
9	2	0.061	352
9	3	0.060	352
9	4	0.044	352
9	5	0.043	352
9	6	0.049	352
10	1	0.217	724
10	2	0.156	724
10	3	0.122	724
10	4	0.104	724
10	5	0.087	724
10	6	0.098	724
11	1	1.082	2680
11	2	0.738	2680
11	3	0.493	2680
11	4	0.421	2680
11	5	0.336	2680
11	6	0.311	2680
12	1	5.711	14200
12	2	3.471	14200
12	3	2.470	14200
12	4	2.033	14200
12	5	1.621	14200
12	6	1.478	14200
13	1	34.193	73712
13	2	20.165	73712
13	3	14.250	73712
13	4	11.499	73712
13	5	9.218	73712
13	6	8.674	73712
