N	workers	elapsed_s	solutions
7	1	0.021	40
7	2	0.020	40
7	3	0.021	40
7	4	0.021	40
7	5	0.020	40
7	6	0.018	40
8	1	0.031	92
8	2	0.034	92
8	3	0.031	92
8	4	0.025	92
8	5	0.033	92
8	6	0.025	92
9	1	0.069	352
9	2	0.067	352
9	3	0.060	352
9	4	0.045	352
9	5	0.038	352
9	6	0.044	352
10	1	0.237	724
10	2	0.165	724
10	3	0.128	724
10	4	0.113	724
10	5	0.093	724
10	6	0.093	724
11	1	1.171	2680
11	2	0.724	2680
11	3	0.519	2680
11	4	0.446	2680
11	5	0.369	2680
11	6	0.344	2680
12	1	6.021	14200
12	2	3.697	14200
12	3	2.600	14200
12	4	2.132	14200
12	5	1.702	14200
12	6	1.540	14200
13	1	35.491	73712
13	2	21.361	73712
13	3	14.979	73712
13	4	12.071	73712
13	5	9.582	73712
13	6	8.592	73712
